P0, T0, V0, sigmaKsi, sigmaTau, sigma, 
0.487836, 70.0317, 0.0250217, 0.00514129, 0.00332603, 0.0276143, 
0.478208, 70.0434, 0.0271018, 0.00499694, 0.00331021, 0.0288477, 
0.460233, 70.0261, 0.0284967, 0.00498311, 0.00330974, 0.03142, 
0.47989, 70.0212, 0.0297228, 0.00485255, 0.00327739, 0.0275358, 
0.478051, 70.0124, 0.0357401, 0.00491186, 0.00329127, 0.0263587, 
0.478741, 70.0129, 0.0372399, 0.00492806, 0.00329472, 0.0267881, 
0.478329, 70.0088, 0.036212, 0.00517515, 0.00329963, 0.0246304, 
0.473741, 70.0165, 0.0376094, 0.00538017, 0.00331606, 0.0248384, 
0.487782, 70.0031, 0.0342456, 0.00529729, 0.0033113, 0.0263606, 
0.494837, 69.9994, 0.0289935, 0.00515972, 0.00333505, 0.0267832, 
0.485141, 70.0079, 0.0242914, 0.00506854, 0.00333626, 0.0241274, 
0.488371, 70.0079, 0.0206231, 0.00510459, 0.0032941, 0.0246431, 
0.491301, 70.0079, 0.0151498, 0.00516075, 0.0032682, 0.0245523, 
0.489637, 70.0003, 0.011905, 0.00522432, 0.00325808, 0.0250955, 
0.485608, 70.0027, 0.0169955, 0.00551337, 0.00325943, 0.0253953, 
0.479615, 70.0061, 0.0260056, 0.0057618, 0.00325819, 0.0246209, 
0.471346, 70.0023, 0.0319029, 0.00598209, 0.00326154, 0.0243391, 
0.474521, 70.0065, 0.0377738, 0.00590854, 0.00323738, 0.0251306, 
0.482258, 69.999, 0.0276658, 0.0058507, 0.0032451, 0.0261663, 
0.485444, 69.999, 0.0340111, 0.00595756, 0.00325505, 0.0241878, 
0.486261, 69.9907, 0.0347625, 0.00587763, 0.00326517, 0.0244363, 
0.485778, 69.9824, 0.0405871, 0.00562318, 0.00325809, 0.0242589, 
0.485778, 69.9825, 0.0438042, 0.00541632, 0.00328051, 0.0248409, 
0.489389, 69.9854, 0.0314739, 0.00560879, 0.00329551, 0.0248354, 
0.489389, 69.9854, 0.0287854, 0.00536433, 0.00330046, 0.0253751, 
0.485466, 69.9851, 0.0238243, 0.00535247, 0.00328648, 0.025136, 
0.48442, 69.9922, 0.0194231, 0.00526778, 0.00328528, 0.0241355, 
0.488575, 69.9937, 0.0181454, 0.00524867, 0.00328668, 0.024356, 
0.478848, 69.9963, 0.0143424, 0.005255, 0.00328255, 0.0240033, 
0.478224, 70.0005, 0.0132805, 0.00520952, 0.00328441, 0.0231726, 
0.476593, 70.0039, 0.00851668, 0.00526212, 0.0032863, 0.0227421, 
0.47619, 70.0033, 0.00723043, 0.00530682, 0.00330197, 0.0222771, 
0.4735, 70.0026, 0.00576304, 0.00535639, 0.00331265, 0.022356, 
0.474024, 70.0086, 0.00328129, 0.00546646, 0.00332127, 0.0219856, 
0.476109, 70.0112, 0.00175083, 0.00562982, 0.00332849, 0.0218403, 
0.477138, 70.0126, 0.00150633, 0.00580573, 0.00333285, 0.0215498, 
0.477852, 70.0158, 0.000411716, 0.00594467, 0.00334027, 0.0219807, 
0.479001, 70.0169, 1.2107e-05, 0.00607795, 0.00333981, 0.0223505, 
0.480473, 70.017, -0.000945894, 0.00631284, 0.00334126, 0.0225246, 
0.479616, 70.0153, -0.00320406, 0.00650129, 0.00334052, 0.0222925, 
0.478642, 70.0134, -0.00619039, 0.00671133, 0.00334209, 0.0219699, 
0.479334, 70.0144, -0.00844725, 0.00683128, 0.00334188, 0.0218151, 
0.479885, 70.0162, -0.0108657, 0.00696495, 0.00334084, 0.0218337, 
0.480328, 70.0151, -0.0116484, 0.00715675, 0.00333709, 0.0218422, 
0.48016, 70.0134, -0.0127901, 0.00730322, 0.00333138, 0.0217578, 
0.481348, 70.0121, -0.0132213, 0.00745856, 0.0033225, 0.0218946, 
0.482349, 70.0124, -0.0140039, 0.00763165, 0.00331337, 0.0220556, 
0.482378, 70.0149, -0.01552, 0.0078209, 0.00330865, 0.0222428, 
0.482403, 70.0163, -0.0168386, 0.00804303, 0.00330564, 0.0224322, 
0.483031, 70.0204, -0.0186939, 0.00827556, 0.00329528, 0.0229232, 
0.482488, 70.0242, -0.0201347, 0.00850884, 0.00329035, 0.0232682, 
0.48203, 70.0275, -0.0209127, 0.00873557, 0.00329183, 0.0235648, 
0.481865, 70.0303, -0.0216113, 0.00901034, 0.00329462, 0.0238046, 
0.480676, 70.0334, -0.0220971, 0.00926438, 0.00329702, 0.024227, 
0.480619, 70.0339, -0.0195714, 0.00948746, 0.0032999, 0.0246327, 
0.482857, 70.0349, -0.0171798, 0.00965394, 0.00330128, 0.0250173, 
0.486401, 70.0383, -0.0148334, 0.00984886, 0.00329938, 0.0254999, 
0.4891, 70.0413, -0.0128414, 0.00999547, 0.00329989, 0.0256704, 
0.491432, 70.0434, -0.0104007, 0.0101538, 0.00330022, 0.025775, 
0.493315, 70.0455, -0.00831601, 0.0103066, 0.0033, 0.0258911, 
0.493173, 70.0475, -0.00675792, 0.0104438, 0.00329989, 0.0259791, 
0.494757, 70.0474, -0.00530948, 0.0105895, 0.00329642, 0.0261464, 
0.496141, 70.048, -0.00484163, 0.0107507, 0.00329434, 0.0263169, 
0.49572, 70.0481, -0.00442226, 0.0109243, 0.00329369, 0.026364, 
0.495021, 70.0465, -0.00332237, 0.0110649, 0.00329139, 0.0262894, 
0.493982, 70.0463, -0.00150167, 0.0111953, 0.00329021, 0.0264062, 
0.493067, 70.0458, 0.000525834, 0.0112413, 0.00328643, 0.0263421, 
0.491375, 70.0455, 0.00284466, 0.01125, 0.00328239, 0.026183, 
0.491204, 70.0451, 0.00470608, 0.0112205, 0.00327806, 0.0259834, 
0.490806, 70.0437, 0.00624382, 0.0112043, 0.003274, 0.0257274, 
0.490452, 70.0425, 0.00730145, 0.0112404, 0.00327076, 0.0254542, 
0.488838, 70.0405, 0.00852587, 0.0113381, 0.00326696, 0.0252917, 
0.48782, 70.0388, 0.00909432, 0.011426, 0.00326317, 0.0251132, 
0.486369, 70.0374, 0.00963065, 0.0115726, 0.00325946, 0.0248882, 
0.485124, 70.0366, 0.00990605, 0.0116815, 0.00325358, 0.0247671, 
0.482894, 70.0359, 0.00975909, 0.0117377, 0.00325008, 0.0247891, 
0.480932, 70.0359, 0.00943864, 0.0118331, 0.00324874, 0.0248092, 
0.479646, 70.036, 0.00896603, 0.0119365, 0.00324556, 0.0247754, 
0.47849, 70.0364, 0.00873471, 0.0120461, 0.00324362, 0.0247926, 
0.477449, 70.0371, 0.00866266, 0.0121654, 0.00324192, 0.0248554, 
0.477167, 70.038, 0.00858711, 0.0122669, 0.00324302, 0.0248968, 
0.476174, 70.0376, 0.00843487, 0.0123463, 0.00324553, 0.0250634, 
0.475396, 70.0376, 0.00815644, 0.0124525, 0.00325218, 0.0252177, 
0.475111, 70.0368, 0.00749119, 0.0125491, 0.00325733, 0.0252867, 
0.475211, 70.0356, 0.00689016, 0.0126982, 0.00326219, 0.0252011, 
0.476251, 70.0357, 0.00662499, 0.0128288, 0.00326793, 0.0251397, 
0.477195, 70.0345, 0.00666039, 0.0130027, 0.0032734, 0.0253044, 
0.477038, 70.035, 0.0061616, 0.0131976, 0.00327684, 0.0255887, 
0.478002, 70.0367, 0.00570696, 0.0133987, 0.00328021, 0.0258229, 
0.478879, 70.0383, 0.00502958, 0.0135858, 0.00328223, 0.0259501, 
0.479677, 70.0405, 0.00344387, 0.013719, 0.00328274, 0.0260995, 
0.480103, 70.0424, 0.00200383, 0.0138724, 0.00328235, 0.0262049, 
0.480668, 70.0443, 0.00093045, 0.0139757, 0.00328093, 0.0262924, 
0.480796, 70.0447, -3.44673e-05, 0.0140825, 0.00327979, 0.0262824, 
0.481454, 70.0455, -0.000427363, 0.01421, 0.00327768, 0.026232, 
0.481296, 70.047, -0.00130192, 0.0143335, 0.00327698, 0.0262951, 
0.481151, 70.0485, -0.00243042, 0.0144584, 0.00327499, 0.0263321, 
0.480868, 70.0496, -0.00359812, 0.0145587, 0.00327395, 0.0263501, 
0.482026, 70.051, -0.0044971, 0.0146501, 0.00327288, 0.0263547, 
0.483084, 70.0523, -0.00522944, 0.014706, 0.00327219, 0.0263353, 
